,Car,Price,Year,Region,Body,Engine_volume,Mileage,Transmission,Steering_wheel,Color
0,Chevrolet Tracker,5850000,2015,Петропавловск,кроссовер,1.8,46000,автомат,слева,красный металлик
1,Opel Frontera,1650000,1994,Талдыкорган,внедорожник,2.3,0,механика,слева,синий металлик
2,Renault Sandero Stepway,3990000,2014,Караганда,хэтчбек,1.6,110000,автомат,слева,коричневый металлик
3,Toyota Land Cruiser,16800000,2010,Алматы,внедорожник,4,220000,автомат,слева,белый
4,Mitsubishi Pajero,8000000,2007,Алматы,внедорожник,3,137000,автомат,слева,черный
5,Toyota Camry,3800000,2003,Алматы,седан,2.4,0,автомат,слева,белый
6,Mazda MPV,3000000,1999,Талдыкорган,минивэн,2.5,0,автомат,справа,зеленый
7,Mitsubishi Pajero,7500000,2008,Актобе,внедорожник,3,219000,автомат,слева,серебристый металлик
8,Mitsubishi RVR,1600000,1995,Алматы,минивэн,2,444444,автомат,справа,полный привод
9,Audi 100,2500000,1994,Караганда,универсал,2.8,300000,автомат,слева,передний привод
10,Opel Zafira,2300000,2001,Актобе,минивэн,2.2,160000,автомат,слева,серебристый
11,Nissan Juke,5950000,2013,Актау,кроссовер,1.6,39000,вариатор,слева,белый
12,Toyota Camry,13900000,2019,Атырау,седан,2.5,18000,автомат,слева,белый
13,Opel Vectra,950000,1991,Шымкент,седан,2,145000,механика,слева,синий
14,Toyota Highlander,8800000,2008,Алматы,кроссовер,3.5,210000,автомат,слева,серый металлик
15,Daewoo Matiz,900000,2000,Шымкент,хэтчбек,8,0,механика,слева,серебристый
16,Volkswagen Passat,2300000,2001,Актобе,универсал,1.8,234500,механика,слева,черный
17,Hyundai Sonata,3700000,2011,Жанаозен,седан,2.4,197102,автомат,слева,бордовый
18,Subaru Forester,3300000,2001,Алматы,кроссовер,2.5,220323,автомат,слева,серебристый металлик
19,Land Rover Range Rover,3000000,2004,Талдыкорган,внедорожник,4.4,0,автомат,слева,белый
20,Chevrolet Tracker,5850000,2015,Петропавловск,кроссовер,1.8,46000,автомат,слева,красный металлик
21,Opel Frontera,1650000,1994,Талдыкорган,внедорожник,2.3,0,механика,слева,синий металлик
22,Renault Sandero Stepway,3990000,2014,Караганда,хэтчбек,1.6,110000,автомат,слева,коричневый металлик
23,Toyota Land Cruiser,16800000,2010,Алматы,внедорожник,4,220000,автомат,слева,белый
24,Mitsubishi Pajero,8000000,2007,Алматы,внедорожник,3,137000,автомат,слева,черный
25,Toyota Camry,3800000,2003,Алматы,седан,2.4,0,автомат,слева,белый
26,Mazda MPV,3000000,1999,Талдыкорган,минивэн,2.5,0,автомат,справа,зеленый
27,Mitsubishi Pajero,7500000,2008,Актобе,внедорожник,3,219000,автомат,слева,серебристый металлик
28,Mitsubishi RVR,1600000,1995,Алматы,минивэн,2,444444,автомат,справа,полный привод
29,Audi 100,2500000,1994,Караганда,универсал,2.8,300000,автомат,слева,передний привод
30,Opel Zafira,2300000,2001,Актобе,минивэн,2.2,160000,автомат,слева,серебристый
31,Nissan Juke,5950000,2013,Актау,кроссовер,1.6,39000,вариатор,слева,белый
32,Toyota Camry,13900000,2019,Атырау,седан,2.5,18000,автомат,слева,белый
33,Opel Vectra,950000,1991,Шымкент,седан,2,145000,механика,слева,синий
34,Toyota Highlander,8800000,2008,Алматы,кроссовер,3.5,210000,автомат,слева,серый металлик
35,Daewoo Matiz,900000,2000,Шымкент,хэтчбек,8,0,механика,слева,серебристый
36,Volkswagen Passat,2300000,2001,Актобе,универсал,1.8,234500,механика,слева,черный
37,Hyundai Sonata,3700000,2011,Жанаозен,седан,2.4,197102,автомат,слева,бордовый
38,Subaru Forester,3300000,2001,Алматы,кроссовер,2.5,220323,автомат,слева,серебристый металлик
39,Land Rover Range Rover,3000000,2004,Талдыкорган,внедорожник,4.4,0,автомат,слева,белый
40,Kia Bongo,6800000,2015,Алматы,фургон,2.9,0,механика,слева,синий металлик
41,Chrysler 300C,5500000,2008,Алматы,седан,2.7,205000,автомат,слева,белый
42,Toyota Land Cruiser Prado,9500000,2004,Алматы,внедорожник,4,250000,автомат,слева,белый
43,Hyundai Elantra,5950000,2014,Нур-Султан (Астана),седан,1.6,92000,автомат,слева,серебристый
44,Land Rover Range Rover,5800000,2005,Алматы,внедорожник,4.4,165000,автомат,слева,белый
45,Mercedes-Benz E 320,3300000,1995,Алматы,седан,3.2,0,автомат,слева,серебристый
46,Toyota Avalon,23500000,2019,Алматы,седан,3.5,20000,автомат,слева,серый
47,Toyota Land Cruiser,7100000,2006,Актобе,внедорожник,4.7,182000,автомат,слева,полный привод
48,Toyota Mark II,2550000,1997,Алматы,седан,2,0,автомат,справа,задний привод
49,Renault Duster,3600000,2014,Атырау,кроссовер,2,164000,автомат,слева,передний привод
50,Volkswagen Golf,1500000,1994,Кызылорда,универсал,1.8,0,механика,слева,синий
51,Toyota Tundra,23000000,2017,Тараз,пикап,4.6,0,автомат,слева,серебристый
52,ЗАЗ Vida,2200000,2013,Алматы,седан,1.4,150000,автомат,слева,белый
53,Chevrolet Spark,3500000,2016,Алматы,хэтчбек,1,135000,вариатор,слева,серый металлик
54,ВАЗ (Lada) 2121 Нива,1900000,2013,Нур-Султан (Астана),внедорожник,1.7,110000,механика,слева,белый
55,BMW X5,44300000,2019,Алматы,кроссовер,3,40,автомат,слева,полный привод
56,Toyota Caldina,1650000,1995,Алматы,универсал,2,0,автомат,справа,голубой
57,Toyota Caldina,2250000,1996,Усть-Каменогорск,универсал,1.8,0,автомат,справа,серебристый
58,Mercedes-Benz E 280,2870000,1998,Алматы,седан,2.8,0,автомат,слева,синий
59,Lexus RX 300,5000000,1999,Алматы,кроссовер,3,354054,автомат,слева,белый
60,ВАЗ (Lada) 2190 (седан),1600000,2013,Темиртау,седан,1.6,120,механика,слева,белый
61,Mercedes-Benz E 200,3200000,2001,Павлодар,седан,2,520000,автомат,слева,серебристый
62,Hyundai Tucson,11350000,2018,Караганда,кроссовер,2,53000,автомат,слева,серебристый металлик
63,ГАЗ ГАЗель,2500000,2006,Алматы,пикап,2.9,0,механика,слева,задний привод
64,Toyota Camry,7900000,2013,Алматы,седан,2.5,194000,автомат,слева,серый
65,ГАЗ ГАЗель,2000000,2007,Нур-Султан (Астана),пикап,2.5,222222,автомат,слева,синий
66,Toyota Land Cruiser Prado,11500000,2007,Алматы,внедорожник,4,180000,автомат,слева,черный
67,Toyota RAV 4,12300000,2018,Алматы,кроссовер,2,42000,автомат,слева,серый
68,ВАЗ (Lada) 2115 (седан),1400000,2011,Костанай,седан,1.6,0,механика,слева,зеленый металлик
69,Toyota Land Cruiser,14200000,2007,Алматы,внедорожник,4,72000,автомат,слева,золотистый
70,Hyundai Accent,4950000,2015,Нур-Султан (Астана),хэтчбек,1.6,84079,автомат,слева,передний привод
71,Toyota Land Cruiser Prado,14200000,2010,Алматы,внедорожник,4,177000,автомат,слева,белый
72,Toyota Land Cruiser,22000000,2013,Алматы,внедорожник,4.6,117000,автомат,слева,белый
73,Honda CR-V,3494411,1997,Алматы,кроссовер,2,250,автомат,слева,полный привод
74,Subaru Outback,4600000,2004,Алматы,универсал,2.5,0,механика,слева,серебристый
75,Hyundai Accent,4500000,2014,Алматы,хэтчбек,1.6,158000,автомат,слева,серый
76,Toyota Land Cruiser,22500000,2014,Алматы,внедорожник,4.6,60000,автомат,слева,белый
77,ВАЗ (Lada) 2190 (седан),2000000,2014,Костанай,седан,1.6,162000,механика,слева,черный
78,ГАЗ ГАЗель,3199000,2008,Костанай,пикап,2.9,395700,механика,слева,золотистый
79,ВАЗ (Lada) 2114 (хэтчбек),380000,2003,Караганда,хэтчбек,1.6,280000,механика,слева,серебристый
80,Toyota Land Cruiser Prado,6800000,1992,Талдыкорган,внедорожник,4,100000,автомат,справа,серый металлик
81,Volkswagen Passat,1550000,1993,Талдыкорган,универсал,1.8,250000,механика,слева,синий металлик
82,Toyota Land Cruiser Prado,12700000,2007,Алматы,внедорожник,4,0,автомат,слева,полный привод
83,Honda CR-V,2950714,1996,Усть-Каменогорск,кроссовер,2,0,автомат,справа,серебристый металлик
84,Toyota Corolla,6600000,2015,Алматы,седан,1.6,120000,вариатор,слева,белый металлик
85,ВАЗ (Lada) 2190 (седан),2190000,2012,Нур-Султан (Астана),седан,1.6,146000,механика,слева,белый
86,Volkswagen Transporter,1800000,1997,Караганда,микроавтобус,1.6,0,механика,слева,синий
87,Hyundai Accent,4200000,2013,Алматы,седан,1.6,190000,автомат,слева,передний привод
88,Daewoo Lacetti,2600000,2004,Шымкент,хэтчбек,1.6,0,автомат,слева,синий
89,Kia Rio,4950000,2014,Шымкент,седан,1.6,104000,автомат,слева,белый
90,Toyota Camry,5200000,2007,Караганда,седан,3.5,103645,автомат,слева,синий металлик
91,Renault Duster,4300000,2013,Усть-Каменогорск,кроссовер,2,147000,автомат,слева,серебристый
92,Toyota Altezza,3000000,2003,Нур-Султан (Астана),универсал,3,113000,автомат,справа,серебристый
93,Toyota Camry,8700000,2013,Нур-Султан (Астана),седан,2.5,141000,автомат,слева,золотистый
94,Mitsubishi Pajero,2350000,1996,Алматы,внедорожник,2.8,0,автомат,справа,белый
95,Audi A6,3800000,2004,Нур-Султан (Астана),седан,3.2,294500,автомат,слева,синий
96,Toyota Corolla,7000000,2013,Алматы,седан,1.6,133000,вариатор,слева,белый
97,Lexus ES 300,5950000,2002,Алматы,седан,3,154000,автомат,слева,серебристый
98,Toyota Highlander,7300000,2002,Алматы,кроссовер,3,145000,автомат,слева,золотистый
99,ВАЗ (Lada) 2113 (хэтчбек),1800000,2012,Усть-Каменогорск,хэтчбек,1.6,0,механика,слева,черный металлик
100,Toyota Camry,4200000,2002,Нур-Султан (Астана),седан,3,111111,автомат,слева,синий
101,Toyota Avalon,7200000,2011,Атырау,седан,3.5,160000,автомат,слева,белый
102,Volkswagen Transporter,3500000,2011,Тараз,минивэн,2,180000,механика,слева,белый
103,Toyota HiAce,2700000,2005,Алматы,микроавтобус,2.5,0,механика,слева,задний привод
104,Nissan Frontier,2300000,2005,Алматы,пикап,2.4,0,механика,слева,белый
105,Toyota HiAce,2000000,2006,Алматы,микроавтобус,2.5,0,механика,слева,задний привод
106,Daewoo Nexia,1350000,2013,Алматы,седан,1.5,92000,механика,слева,белый
107,ВАЗ (Lada) 2110 (седан),700000,2006,Актобе,седан,1.6,0,механика,слева,серебристый
108,Mazda 323,1750000,2001,Алматы,хэтчбек,1.6,0,механика,слева,синий
109,Mercedes-Benz C 240,2300000,2003,Жанаозен,универсал,2.6,212227,автомат,слева,серебристый
110,Citroen C4,1600000,2010,Атырау,хэтчбек,1.6,151000,автомат,слева,серый
111,Lexus LX 570,25500000,2013,Алматы,внедорожник,5.7,179000,автомат,слева,белый
112,Daewoo Nexia,1350000,2009,Актобе,седан,1.6,126000,механика,слева,синий металлик
113,Audi 80,2150000,1992,Тараз,седан,2,0,механика,слева,зеленый металлик
114,ВАЗ (Lada) 2110 (седан),700000,2005,Актобе,седан,1.5,203510,механика,слева,серебристый
115,Audi 80,950000,1991,Тараз,седан,1.8,0,механика,слева,серый
116,Toyota Camry,12500000,2017,Шымкент,седан,2.5,56400,автомат,слева,белый металлик
117,Toyota Land Cruiser,27700000,2016,Алматы,внедорожник,4.6,85000,автомат,слева,белый
118,Opel Omega,550000,1987,Алматы,седан,2,0,механика,слева,синий
119,Hyundai Getz,2450000,2007,Алматы,хэтчбек,1.4,170000,механика,слева,голубой
120,Chevrolet Orlando,3300000,2014,Атырау,минивэн,1.8,169000,автомат,слева,черный
121,Toyota Windom,1950000,1995,Алматы,седан,2.5,0,автомат,справа,передний привод
122,ГАЗ ГАЗель,4950000,2012,Алматы,фургон,2.9,0,механика,слева,серебристый
123,Toyota Altezza,2100000,2001,Жезказган,седан,2,175000,автомат,справа,серебристый
124,Toyota Camry,13300000,2018,Алматы,седан,2.5,38000,автомат,слева,белый
125,Chevrolet Malibu,5000000,2013,Талдыкорган,седан,2.4,150000,автомат,слева,серебристый
126,Hyundai Solaris,4900000,2019,Нур-Султан (Астана),седан,1.6,104000,автомат,слева,белый
127,Hyundai Elantra,6900000,2015,Шымкент,седан,1.8,134000,автомат,слева,серый
128,Mercedes-Benz E 230,900000,1991,Кокшетау,седан,2.3,138999,автомат,слева,серебристый
129,Mitsubishi Galant,1400000,1994,Алматы,хэтчбек,2,0,автомат,слева,бордовый
130,Mazda 626,850000,1990,Алматы,универсал,2,0,механика,слева,Да
131,Chevrolet Aveo,1700000,2006,Усть-Каменогорск,хэтчбек,1.2,180000,механика,слева,оранжевый
132,Chevrolet Lacetti,1800000,2007,Усть-Каменогорск,седан,1.6,188000,механика,слева,черный металлик
133,Volkswagen Golf,800000,1993,Уральск,универсал,1.8,0,механика,слева,вишня
134,Audi A4,1850000,1997,Алматы,седан,1.8,0,автомат,слева,передний привод
135,Toyota Carina E,1100000,1993,Отеген-Батыр,седан,2,455699,механика,слева,черный металлик
136,Mitsubishi Delica,2500000,1995,Алматы,минивэн,2.8,300000,автомат,справа,зеленый
137,Kia Rio,4500000,2014,Актобе,седан,1.6,140000,автомат,слева,белый
138,Hyundai Elantra,2900000,2004,Талдыкорган,седан,2,0,автомат,слева,серебристый
139,Kia Sorento,12500000,2019,Шымкент,кроссовер,2.2,34000,автомат,слева,серый металлик
140,Mercedes-Benz E 230,1600000,1990,Алматы,седан,2.3,0,механика,слева,черный
141,Lexus RX 300,5000000,2002,Нур-Султан (Астана),кроссовер,3,0,автомат,слева,серебристый
142,Toyota Land Cruiser,29600000,2018,Нур-Султан (Астана),внедорожник,4.6,13000,автомат,слева,черный
143,Toyota Hilux Surf,4650000,1997,Алматы,внедорожник,3,252525,автомат,слева,синий
144,Toyota Camry,4600000,2005,Актобе,седан,2.4,198000,автомат,слева,серебристый
145,ГАЗ ГАЗель,4500000,2012,Атырау,фургон,2.9,0,механика,слева,белый
146,Audi 100,2000000,1991,Тараз,седан,2,500000,механика,слева,голубой металлик
147,Toyota Camry,5800000,2007,Кызылорда,седан,2.4,0,автомат,слева,белый
148,Lexus GS 250,12900000,2012,Алматы,седан,2.5,118000,автомат,слева,белый
149,Toyota Land Cruiser Prado,12000000,2007,Нур-Султан (Астана),внедорожник,4,209000,автомат,слева,черный
150,Mercedes-Benz E 200,18900000,2018,Алматы,седан,2,80000,автомат,слева,белый
151,ВАЗ (Lada) 2114 (хэтчбек),1000000,2008,Актобе,хэтчбек,1.6,0,механика,слева,передний привод
152,BMW 530,3150000,2001,Нур-Султан (Астана),седан,3,0,автомат,слева,голубой
153,Lexus GS 350,12700000,2015,Алматы,седан,3.5,100000,автомат,слева,черный
154,Toyota Carina E,2650000,1993,Алматы,универсал,2,257000,автомат,слева,бордовый металлик
155,Nissan X-Trail,4400000,2006,Нур-Султан (Астана),кроссовер,2.5,0,автомат,слева,синий
156,Toyota Camry,10700000,2015,Алматы,седан,2.5,88000,автомат,слева,белый
157,Toyota Corolla,5400000,2014,Шымкент,седан,1.4,103,механика,слева,белый
158,Mercedes-Benz S 320,4000000,1998,Алматы,седан,3.2,0,автомат,слева,серебристый
159,Hyundai Accent,4150000,2013,Алматы,седан,1.6,141000,автомат,слева,золотистый
160,Toyota Camry,4250000,2007,Нур-Султан (Астана),седан,2.4,168000,автомат,слева,черный
161,Daewoo Nexia,1150000,2007,Кызылорда,седан,1.6,100700,механика,слева,синий
162,Mercedes-Benz S 500,5000000,2004,Нур-Султан (Астана),седан,5,0,автомат,слева,задний привод
163,Mitsubishi Pajero,8200000,2009,Алматы,внедорожник,3,162000,автомат,слева,серебристый
164,Toyota Camry,15800000,2020,Шымкент,седан,2.5,1955,автомат,слева,белый металлик
165,ВАЗ (Lada) 2114 (хэтчбек),960000,2011,Караганда,хэтчбек,1.5,0,механика,слева,черный
166,Volkswagen Passat,1550000,1995,Актобе,седан,2,0,механика,слева,серебристый металлик
167,Kia Cerato,5400000,2014,Алматы,седан,1.6,129600,автомат,слева,синий
168,Mercedes-Benz E 200,4000000,2001,Шымкент,седан,2,0,автомат,слева,серебристый металлик
169,Audi 100,1850000,1992,Павлодар,седан,2.3,475000,механика,справа,синий
170,Nissan Patrol,7300000,2005,Алматы,внедорожник,3,0,автомат,слева,серый
171,ВАЗ (Lada) 2111 (универсал),800000,2005,Актобе,универсал,1.6,25870,механика,слева,синий
172,Mercedes-Benz C 200,2200000,1997,Алматы,седан,2,430000,автомат,слева,серебристый
173,Audi 100,1650000,1991,Шымкент,седан,2.3,235632,механика,слева,черный
174,ВАЗ (Lada) 2170 (седан),2000000,2014,Актобе,седан,1.6,160000,механика,слева,белый
175,Daewoo Nexia,1350000,2007,Нур-Султан (Астана),седан,1.5,61000,механика,слева,голубой
176,Toyota Carina E,1900000,1992,Алматы,лифтбек,2,0,механика,слева,голубой
177,ВАЗ (Lada) 2170 (седан),1850000,2013,Караганда,седан,1.6,188139,механика,слева,бордовый
178,Lexus LX 570,31000000,2014,Алматы,внедорожник,5.7,97000,автомат,слева,серый
179,Nissan Tiida,3700000,2007,Караганда,хэтчбек,1.6,0,автомат,слева,белый
180,Nissan Tiida,3700000,2007,Караганда,хэтчбек,1.6,0,автомат,слева,белый
181,ГАЗ ГАЗель,2900000,2004,Ленгер,пикап,2.5,0,механика,слева,Да
182,Toyota Camry,4000000,2008,Аксай,седан,3.5,0,автомат,слева,черный
183,Hyundai Elantra,5600000,2014,Актау,седан,1.6,130000,автомат,слева,белый
184,Hyundai Solaris,3700000,2018,Кызылорда,седан,1.6,0,автомат,слева,белый
185,Toyota Camry,4000000,2008,Уральск,седан,3.5,0,автомат,слева,черный металлик
186,Mercedes-Benz C 200,4000000,2002,Алматы,хэтчбек,2,0,механика,слева,синий
187,ГАЗ ГАЗель,4500000,2002,Алматы,фургон,4,150000,автомат,слева,белый
188,ВАЗ (Lada) 2170 (седан),1740000,2013,Нур-Султан (Астана),седан,1.6,150000,механика,слева,белый
189,Audi 80,1150000,1992,Нур-Султан (Астана),седан,2,300000,механика,слева,зеленый
190,Toyota Camry,7500000,2012,Алматы,седан,2.5,111000,автомат,слева,синий металлик
191,ВАЗ (Lada) 2172 (хэтчбек),2400000,2015,Усть-Каменогорск,хэтчбек,1.6,120000,механика,слева,черный
192,ВАЗ (Lada) 2107,350000,2006,Атырау,седан,1.5,0,механика,слева,белый
193,Daewoo Nexia,950000,2007,Кызылорда,седан,1.5,144000,механика,слева,золотистый
194,Mazda 626,1350000,1991,Алматы,лифтбек,2.2,355626,механика,слева,синий
195,BMW 525,5000000,2003,Алматы,универсал,2.5,0,автомат,слева,синий
196,Mazda 626,1450000,1989,Алматы,лифтбек,2,310915,механика,слева,красный
197,Audi 100,1700000,1993,Алматы,седан,2.8,0,механика,слева,серебристый
198,Volkswagen Touareg,5200000,2006,Уральск,кроссовер,3,257744,автомат,слева,синий
199,Volkswagen Polo,5200000,2017,Усть-Каменогорск,седан,1.6,110,автомат,слева,белый
200,Volkswagen Touareg,5200000,2006,Уральск,кроссовер,3,257744,автомат,слева,синий
201,Volkswagen Polo,5200000,2017,Усть-Каменогорск,седан,1.6,110,автомат,слева,белый
202,Lexus RX 300,7200000,2006,Алматы,кроссовер,3,0,автомат,слева,синий металлик
203,Toyota Camry,5400000,2007,Алматы,седан,2.4,208000,автомат,слева,зеленый металлик
204,Toyota Alphard,5100000,2007,Караганда,минивэн,3,122000,автомат,справа,белый
205,ВАЗ (Lada) 2114 (хэтчбек),650000,2005,Петропавловск,хэтчбек,1.5,219600,механика,слева,серебристый
206,ВАЗ (Lada) 2113 (хэтчбек),550000,2008,Атырау,хэтчбек,1.5,320,механика,слева,серебристый
207,ВАЗ (Lada) 2112 (хэтчбек),650000,2004,Актобе,хэтчбек,1.5,218000,механика,слева,серебристый
208,Subaru Forester,2900000,1998,Алматы,кроссовер,2,95000,механика,слева,белый металлик
209,Toyota Camry,4850000,2002,Алматы,седан,2.4,0,автомат,слева,серебристый
210,Mercedes-Benz S 350,7000000,2007,Туркестан,седан,3.5,230000,автомат,слева,черный
211,Hyundai Sonata,3200000,2010,Костанай,седан,2.4,140000,автомат,слева,передний привод
212,Ford Focus,1200000,2007,Алматы,седан,1.6,253000,автомат,слева,черный
213,Kia Optima,7300000,2018,Актобе,седан,2.4,0,автомат,слева,Нет
214,Skoda Fabia,2500000,2007,Нур-Султан (Астана),хэтчбек,1.2,159000,механика,слева,серебристый
215,Toyota Camry,8650000,2012,Алматы,седан,2.5,169500,автомат,слева,серебристый
216,Toyota Avensis,5100000,2009,Алматы,седан,1.8,0,механика,слева,серебристый
217,Hyundai Accent,2100000,2008,Актобе,седан,1.6,180000,автомат,слева,черный металлик
218,Mercedes-Benz E 55 AMG,8500000,2003,Алматы,седан,5.5,158000,автомат,слева,белый
219,ГАЗ ГАЗель,1500000,2006,Шымкент,пикап,2.9,0,механика,слева,белый
220,Land Rover Range Rover Evoque,11490000,2013,Алматы,кроссовер,2,47000,автомат,слева,полный привод
221,Subaru Outback,3200000,2002,Алматы,универсал,2.5,447000,автомат,слева,белый
222,BMW X6,7500000,2008,Алматы,кроссовер,3,139000,автомат,слева,белый
223,ВАЗ (Lada) 2170 (седан),1800000,2010,Костанай,седан,1.6,256000,механика,слева,передний привод
224,Daewoo Gentra,3100000,2014,Алматы,седан,1.5,88888,механика,слева,черный металлик
225,Daewoo Nexia,550000,2008,Нур-Султан (Астана),седан,1.5,150000,механика,слева,передний привод
226,ВАЗ (Lada) 1117 (универсал),1850000,2013,Актобе,универсал,1.6,123000,механика,слева,вишня
227,Toyota Corolla,4500000,2007,Актау,седан,1.6,151000,автомат,слева,передний привод
228,Toyota Land Cruiser Prado,36200000,2021,Алматы,внедорожник,4,0,автомат,слева,белый
229,ВАЗ (Lada) 2114 (хэтчбек),650000,2008,Атырау,хэтчбек,1.5,190000,механика,слева,серый металлик
230,Mercedes-Benz 190,1000000,1992,Алматы,седан,2,0,механика,слева,белый
231,Lexus RX 350,8450000,2007,Жезказган,кроссовер,3.5,160000,автомат,слева,черный
232,Toyota Crown Majesta,4500000,2010,Павлодар,седан,4.6,120000,автомат,справа,черный
233,Subaru Forester,5200000,2007,Усть-Каменогорск,кроссовер,2,191000,автомат,слева,серый
234,BMW X5,12800000,2013,Алматы,кроссовер,3,102000,автомат,слева,белый
235,Skoda Yeti,5800000,2014,Усть-Каменогорск,кроссовер,1.8,113000,робот,слева,черный
236,Hyundai Accent,7600000,2021,Алматы,седан,1.6,5,автомат,слева,коричневый
237,ЗАЗ Vida,2900000,2014,Шиели,седан,1.4,151588,автомат,слева,серебристый
238,ВАЗ (Lada) 2107,400000,2008,Уральск,седан,1.7,0,механика,слева,белый
239,Mercedes-Benz E 320,2500000,1996,Талдыкорган,седан,3.2,250,автомат,слева,белый
240,ВАЗ (Lada) 2115 (седан),1300000,2012,Шелек,седан,1.6,230,механика,слева,черный металлик
241,ВАЗ (Lada) 1119 (хэтчбек),950000,2009,Нур-Султан (Астана),хэтчбек,1.4,210000,механика,слева,белый
242,ВАЗ (Lada) 2115 (седан),1500000,2006,Костанай,седан,1.5,167000,механика,слева,серебристый металлик
243,Toyota Estima,3850000,2006,Алматы,минивэн,3.5,140000,автомат,справа,белый
244,BMW 650,10000000,2007,Алматы,кабриолет,4.8,137000,автомат,слева,фиолетовый
245,Mercedes-Benz C 200,1650000,1994,Нур-Султан (Астана),седан,2,1000,механика,слева,синий
246,Toyota Avalon,2650000,1996,Алматы,седан,3,185000,автомат,слева,золотистый металлик
247,Toyota Camry,5500000,2007,Алматы,седан,2.4,280,автомат,слева,серебристый металлик
248,Toyota Land Cruiser,15000000,2009,Нур-Султан (Астана),внедорожник,4.7,280000,автомат,слева,серый
249,Mercedes-Benz E 320,4600000,2003,Павлодар,седан,3.2,0,автомат,слева,зеленый
250,Hyundai Tuscani,3100000,2008,Алматы,купе,2,117000,механика,слева,белый
251,Volkswagen Passat,750000,1989,Нур-Султан (Астана),седан,1.8,0,механика,слева,красный
252,Lexus LX 570,28500000,2015,Алматы,внедорожник,5.7,90000,автомат,слева,белый
253,ВАЗ (Lada) 2114 (хэтчбек),900000,2008,Атырау,хэтчбек,1.5,0,механика,слева,зеленый
254,ВАЗ (Lada) 2190 (седан),2850000,2015,Актобе,седан,1.6,129000,автомат,слева,передний привод
255,ВАЗ (Lada) 2172 (хэтчбек),2000000,2012,Шымкент,хэтчбек,1.6,0,механика,слева,серебристый
256,Toyota Camry,12450000,2018,Актау,седан,2.5,50000,автомат,слева,синий
257,Lexus RX 350,33500000,2019,Алматы,кроссовер,3.5,9000,автомат,слева,черный
258,Hyundai Accent,2300000,2013,Алматы,седан,1.6,198900,механика,слева,черный
259,Mazda Cronos,1300000,1993,Кордай,седан,2,0,механика,слева,серебристый
260,ВАЗ (Lada) 2114 (хэтчбек),900000,2008,Атырау,хэтчбек,1.5,0,механика,слева,зеленый
261,ВАЗ (Lada) 2190 (седан),2850000,2015,Актобе,седан,1.6,129000,автомат,слева,передний привод
262,ВАЗ (Lada) 2172 (хэтчбек),2000000,2012,Шымкент,хэтчбек,1.6,0,механика,слева,серебристый
263,Toyota Camry,12450000,2018,Актау,седан,2.5,50000,автомат,слева,синий
264,Lexus RX 350,33500000,2019,Алматы,кроссовер,3.5,9000,автомат,слева,черный
265,Hyundai Accent,2300000,2013,Алматы,седан,1.6,198900,механика,слева,черный
266,Mazda Cronos,1300000,1993,Кордай,седан,2,0,механика,слева,серебристый
267,Lexus LX 570,16500000,2011,Алматы,внедорожник,5.7,180000,автомат,слева,белый
268,Audi A4,4800000,2009,Лисаковск,седан,2,90000,вариатор,слева,передний привод
269,Toyota Land Cruiser Prado,16880000,2016,Алматы,внедорожник,2.7,48250,автомат,слева,черный
270,Mazda 323,650000,1993,Алматы,хэтчбек,1.6,380000,механика,слева,зеленый
271,Hyundai Accent,4800000,2014,Усть-Каменогорск,седан,1.6,90000,механика,слева,Да
272,Mazda MPV,3300000,1999,Усть-Каменогорск,минивэн,2.5,330000,автомат,справа,передний привод
273,ГАЗ ГАЗель,6800000,2006,Шымкент,пикап,2.7,0,механика,слева,серебристый
274,Toyota Camry,5000000,2006,Актау,седан,2.4,0,автомат,слева,черный
275,ГАЗ ГАЗель,1800000,2007,Уральск,фургон,2.7,0,механика,слева,белый
276,Nissan Cefiro,1600000,1997,Алматы,седан,2,0,автомат,справа,синий
277,Mercedes-Benz S 320,1650000,1991,Алматы,седан,3.2,0,автомат,слева,белый
278,Daewoo Nexia,1000000,2004,Кызылорда,седан,1.5,120000,механика,слева,белый
279,ВАЗ (Lada) 2170 (седан),1600000,2013,Караганда,седан,1.6,210300,механика,слева,белый
280,BMW 650,10000000,2007,Алматы,кабриолет,4.8,137000,автомат,слева,фиолетовый
281,Mercedes-Benz C 200,1650000,1994,Нур-Султан (Астана),седан,2,1000,механика,слева,синий
282,Toyota Avalon,2650000,1996,Алматы,седан,3,185000,автомат,слева,золотистый металлик
283,Toyota Camry,5500000,2007,Алматы,седан,2.4,280,автомат,слева,серебристый металлик
284,Toyota Land Cruiser,15000000,2009,Нур-Султан (Астана),внедорожник,4.7,280000,автомат,слева,серый
285,Mercedes-Benz E 320,4600000,2003,Павлодар,седан,3.2,0,автомат,слева,зеленый
286,Hyundai Tuscani,3100000,2008,Алматы,купе,2,117000,механика,слева,белый
287,Volkswagen Passat,750000,1989,Нур-Султан (Астана),седан,1.8,0,механика,слева,красный
288,Lexus LX 570,28500000,2015,Алматы,внедорожник,5.7,90000,автомат,слева,белый
289,ВАЗ (Lada) 2114 (хэтчбек),900000,2008,Атырау,хэтчбек,1.5,0,механика,слева,зеленый
290,ВАЗ (Lada) 2190 (седан),2850000,2015,Актобе,седан,1.6,129000,автомат,слева,передний привод
291,ВАЗ (Lada) 2172 (хэтчбек),2000000,2012,Шымкент,хэтчбек,1.6,0,механика,слева,серебристый
